image,choice
img_00001.jpeg,defect
img_00002.jpeg,defect
img_00003.jpeg,normal
img_00004.jpeg,normal
img_00005.jpeg,defect
img_00006.jpeg,defect
img_00007.jpeg,defect
img_00008.jpeg,normal
img_00009.jpeg,normal
img_00010.jpeg,defect
img_00011.jpeg,normal
img_00012.jpeg,normal
img_00013.jpeg,normal
img_00014.jpeg,normal
img_00015.jpeg,normal
img_00016.jpeg,normal
img_00017.jpeg,normal
img_00018.jpeg,normal
img_00019.jpeg,normal
img_00020.jpeg,defect
img_00021.jpeg,normal
img_00022.jpeg,defect
img_00023.jpeg,defect
img_00024.jpeg,defect
img_00025.jpeg,normal
img_00026.jpeg,defect
img_00027.jpeg,normal
img_00028.jpeg,normal
img_00029.jpeg,defect
img_00030.jpeg,defect
img_00031.jpeg,normal
img_00032.jpeg,defect
img_00033.jpeg,normal
img_00034.jpeg,normal
img_00035.jpeg,normal
img_00036.jpeg,normal
img_00037.jpeg,normal
img_00038.jpeg,normal
img_00039.jpeg,defect
img_00040.jpeg,normal
img_00041.jpeg,normal
img_00042.jpeg,defect
img_00043.jpeg,normal
img_00044.jpeg,normal
img_00045.jpeg,normal
img_00046.jpeg,normal
img_00047.jpeg,defect
img_00048.jpeg,defect
img_00049.jpeg,normal
img_00050.jpeg,normal
img_00051.jpeg,defect
img_00052.jpeg,defect
img_00053.jpeg,defect
img_00054.jpeg,normal
img_00055.jpeg,normal
img_00056.jpeg,normal
img_00057.jpeg,defect
img_00058.jpeg,defect
img_00059.jpeg,normal
img_00060.jpeg,normal
img_00061.jpeg,defect
img_00062.jpeg,defect
img_00063.jpeg,normal
img_00064.jpeg,defect
img_00065.jpeg,normal
img_00066.jpeg,defect
img_00067.jpeg,normal
img_00068.jpeg,normal
img_00069.jpeg,defect
img_00070.jpeg,defect
img_00071.jpeg,defect
img_00072.jpeg,normal
img_00073.jpeg,normal
img_00074.jpeg,normal
img_00075.jpeg,normal
img_00076.jpeg,defect
img_00077.jpeg,normal
img_00078.jpeg,normal
img_00079.jpeg,defect
img_00080.jpeg,defect
img_00081.jpeg,normal
img_00082.jpeg,defect
img_00083.jpeg,defect
img_00084.jpeg,defect
img_00085.jpeg,defect
img_00086.jpeg,normal
img_00087.jpeg,defect
img_00088.jpeg,defect
img_00089.jpeg,defect
img_00090.jpeg,defect
img_00091.jpeg,normal
img_00092.jpeg,defect
img_00093.jpeg,normal
img_00094.jpeg,normal
img_00095.jpeg,defect
img_00096.jpeg,defect
img_00097.jpeg,defect
img_00098.jpeg,normal
img_00099.jpeg,normal
img_00100.jpeg,defect
img_00101.jpeg,defect
img_00102.jpeg,defect
img_00103.jpeg,normal
img_00104.jpeg,defect
img_00105.jpeg,defect
img_00106.jpeg,defect
img_00107.jpeg,normal
img_00108.jpeg,normal
img_00109.jpeg,normal
img_00110.jpeg,normal
img_00111.jpeg,defect
img_00112.jpeg,defect
img_00113.jpeg,normal
